,,,,,Overall,Overall,Overall,Overall,Overall,Bowls,Bowls,Bowls,Bowls,Bowls,SRS,SRS,,,
Rk,School,From,To,Yrs,G,W,L,T,Pct,G,W,L,T,Pct,SRS,SOS,AP,CC,Notes
146,Erskine,1919,1936,5,39,12,27,0,.308,0,0,0,0,,-13.04,-5.98,0,0,
147,Wofford,1914,1936,15,128,36,88,4,.297,0,0,0,0,,-13.04,-5.23,0,0,
148,Centre,1919,1935,8,71,51,20,3,.709,3,2,1,0,.667,9.14,-0.02,0,0,
149,Furman,1902,1935,18,173,113,50,10,.682,0,0,0,0,,2.55,-2.95,0,0,
150,Davidson,1902,1935,31,275,133,113,29,.536,0,0,0,0,,-0.38,-2.53,0,0,
151,Citadel,1909,1935,22,179,83,81,15,.506,0,0,0,0,,-3.76,-4.07,0,0,
152,Wake Forest,1908,1935,28,234,81,139,14,.376,0,0,0,0,,-6.29,-2.33,0,0,
153,Washington & Jefferson,1905,1934,30,287,196,71,21,.717,1,0,0,1,.500,4.76,-2.83,0,0,
154,Regis (CO),1924,1930,3,25,9,16,0,.360,0,0,0,0,,-12.84,-8.99,0,0,
155,Creighton,1927,1927,1,8,6,1,1,.813,0,0,0,0,,3.31,-3.81,0,0,
156,Duke,1922,1927,6,55,27,27,1,.500,0,0,0,0,,-1.92,-3.09,0,0,
157,Oglethorpe,1919,1925,7,69,31,35,3,.471,0,0,0,0,,-3.68,-1.98,0,0,
158,Newberry,1914,1925,11,86,34,48,4,.419,0,0,0,0,,-9.95,-5.22,0,0,
159,Mississippi College,1911,1924,10,81,38,37,6,.506,0,0,0,0,,-3.35,-2.44,0,0,
160,Birmingham-Southern,1920,1924,4,36,16,17,3,.486,0,0,0,0,,-5.29,-4.68,0,0,
161,Samford,1907,1924,11,95,27,57,11,.342,0,0,0,0,,-8.87,-2.41,0,0,
162,Millsaps,1924,1924,1,9,3,5,1,.389,0,0,0,0,,-10.12,-7.78,0,0,
163,Whitman,1923,1924,2,12,2,10,0,.167,0,0,0,0,,-13.95,1.72,0,0,
164,Western State,1924,1924,1,6,2,4,0,.333,0,0,0,0,,-15.73,-7.39,0,0,
165,Virginia Military Institute,1904,1923,12,103,63,34,6,.641,0,0,0,0,,3.38,-2.31,0,0,
166,Spring Hill,1919,1922,3,23,11,11,1,.500,0,0,0,0,,-3.17,-2.11,0,0,
167,Texas Christian,1903,1922,17,143,69,63,12,.521,1,0,1,0,.000,-5.38,-5.43,0,0,
168,Fort Benning,1922,1922,1,10,5,5,0,.500,0,0,0,0,,-6.13,-4.03,0,0,
169,Vanderbilt,1902,1921,20,172,130,32,10,.785,0,0,0,0,,13.49,0.94,0,0,
170,LSU,1902,1921,17,139,88,42,9,.665,0,0,0,0,,5.82,-0.78,0,0,
171,Florida,1904,1921,11,78,41,33,4,.551,0,0,0,0,,-1.40,-1.30,0,0,
172,Ole Miss,1902,1921,17,131,61,65,5,.485,0,0,0,0,,-2.68,-1.51,0,0,
173,Southwestern (TX),1910,1921,10,65,19,41,5,.331,0,0,0,0,,-7.40,-1.64,0,0,
174,Phillips,1921,1921,1,9,3,4,2,.444,0,0,0,0,,-8.08,-5.97,0,0,
175,Auburn,1902,1920,19,145,99,39,7,.707,0,0,0,0,,9.80,2.01,0,0,
176,Nebraska,1900,1920,9,90,67,18,5,.772,0,0,0,0,,9.08,-0.74,0,0,
177,Alabama,1902,1920,18,154,101,44,9,.685,0,0,0,0,,6.30,-0.69,0,0,
178,Washington & Lee,1907,1920,14,107,74,26,7,.724,0,0,0,0,,6.03,-1.18,0,0,
179,Georgia,1902,1920,17,135,72,47,16,.593,0,0,0,0,,4.93,2.37,0,0,
180,Mississippi State,1902,1920,17,130,78,46,6,.623,0,0,0,0,,3.69,-1.44,0,0,
181,North Carolina State,1902,1920,15,109,65,35,9,.638,0,0,0,0,,3.41,-0.67,0,0,
182,North Carolina,1902,1920,17,145,75,54,16,.572,0,0,0,0,,2.07,0.54,0,0,
183,Kentucky,1915,1920,6,43,21,16,6,.558,0,0,0,0,,1.64,-1.10,0,0,
184,Tennessee,1902,1920,17,151,79,58,14,.570,0,0,0,0,,1.02,-2.51,0,0,
185,Mare Island Marines,1917,1918,2,17,18,1,0,.947,2,1,1,0,.500,13.72,-5.57,0,0,
186,Carlisle,1896,1917,21,252,165,77,10,.675,0,0,0,0,,8.12,0.81,0,0,
187,SMU,1916,1917,2,18,3,10,5,.306,0,0,0,0,,-10.06,-3.63,0,0,
188,Michigan,1881,1916,16,125,84,33,8,.704,0,0,0,0,,5.64,-1.58,0,0,
189,West Virginia Wesleyan,1913,1916,4,33,16,16,1,.500,0,0,0,0,,-1.55,-1.37,0,0,
